Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
60tal,Vem var Sovjetunionens ledare?,Nikita Chrusjtjov,Leonid Brezjnev,Alexei Kosygin,Nikolai Podgorny
60tal,Vad var Tet-offensiven?,Nordvietnamesisk attack,Amerikansk attack,Sydvietnamesisk attack,FN-attack
60tal,Vilka månader inträffade Kubakrisen?,Oktober,September,November,Augusti
60tal,Vem efterträdde Tage Erlander som statsminister?,Olof Palme,Ingvar Carlsson,Thorbjörn Fälldin,Ola Ullsten
60tal,Vem höll det berömda Vietnamtalet?,Olof Palme,Tage Erlander,Torsten Nilsson,Krister Wickman
60tal,Vad hette den första stora amerikanska offensiven?,Operation Rolling Thunder,Operation Linebacker,Operation Menu,Operation Phoenix
60tal,Vilket var Sveriges första kärnkraftverk?,Oskarshamn 1,Ringhals 1,Forsmark 1,Barsebäck 1
60tal,Vilket system använde Sverige för färg-TV?,PAL,NTSC,SECAM,Nordic
60tal,Vem var Sirhan Sirhan?,Palestinier,Jordanier,Libanoner,Syrian
60tal,Vad hette den berömda designstolen?,Panton Chair,Eames Chair,Barcelona Chair,Ant Chair
60tal,Vem spelade T.E. Lawrence?,Peter O'Toole,Omar Sharif,Alec Guinness,Anthony Quinn
60tal,Vad var kontroversiellt med andra matchen mot Liston?,Phantom punch,Fusk,Mutor,Dopning
60tal,Vilket företag uppfann kassettbandet?,Philips,Sony,TDK,Maxell
60tal,Vilket material blev populärt i möbler?,Plast,Trä,Metall,Glas
60tal,"Vad var ""The Smothers Brothers"" kända för?",Politisk satir,Musikkomedi,Båda ovanstående,Stand-up
60tal,Vilken stil dominerade designen?,Pop art,Minimalism,Art deco,Barock
60tal,Vad hette motorcortegen?,Presidential motorcade,Dallas parade,Freedom ride,Peace convoy
60tal,Vad kallade USA sin blockad?,Quarantine,Blockade,Embargo,Isolation
60tal,Vad kallades Aretha Franklin?,Queen of Soul,Lady Soul,Soul Sister,The Voice
60tal,"Vem skrev ""Tyst vår""?",Rachel Carson,Rolf Edberg,Astrid Lindgren,Selma Lagerlöf
60tal,Vad startade efter MLK:s mord?,Rasupplopp,Demonstrationer,Båda ovanstående,Ingenting
60tal,Vem mördades 1968 förutom MLK?,Robert F. Kennedy,John F. Kennedy,Malcolm X,Medgar Evers
60tal,"Vem regisserade ""The Sound of Music""?",Robert Wise,George Stevens,William Wyler,John Ford
60tal,Vad hette Bob Dylan med riktiga namnet?,Robert Zimmerman,Robert Dylan,Bob Zimmerman,Bobby Dylan
60tal,"Vem skapade ""The Twilight Zone""?",Rod Serling,Gene Roddenberry,Irwin Allen,Quinn Martin
60tal,Vem var sångare i The Who?,Roger Daltrey,Pete Townshend,John Entwistle,Keith Moon
60tal,"Vem regisserade ""Rosemary's Baby""?",Roman Polanski,Alfred Hitchcock,William Friedkin,George Romero
60tal,Vem skapade Bamse?,Rune Andréasson,Jan Lööf,Sven Nordqvist,Ulf Löfgren
60tal,Vilken stad attackerades under Tet?,Saigon,Hanoi,Da Nang,Hue
60tal,Vad sa Scooby-Doo ofta?,Scooby-Dooby-Doo!,Ruh-roh!,Scooby Snacks!,Zoinks!
60tal,Vem spelade första James Bond?,Sean Connery,Roger Moore,George Lazenby,Timothy Dalton
60tal,Vad hette Scooby-Doos bästa vän?,Shaggy,Fred,Velma,Daphne
60tal,"Vem sjöng Bond-låten ""Goldfinger""?",Shirley Bassey,Nancy Sinatra,Diana Ross,Dionne Warwick
60tal,"Vem sjöng ""Mrs. Robinson""?",Simon and Garfunkel,The Beatles,Bob Dylan,The Beach Boys
60tal,Vem sköt Robert Kennedy?,Sirhan Sirhan,James Earl Ray,Lee Harvey Oswald,Arthur Bremer
60tal,Vem sköt Robert Kennedy?,Sirhan Sirhan,James Earl Ray,Arthur Bremer,John Hinckley
60tal,"Vem sjöng ""Leva livet""?",Siw Malmkvist,Lill-Babs,Ann-Louise Hanson,Monica Zetterlund
60tal,Vem var svensk skidstjärna under 60-talet?,Sixten Jernberg,Gunde Svan,Thomas Wassberg,Torgny Mogren
60tal,Varifrån kom Sven-Ingvars?,Slottsbron,Stockholm,Göteborg,Malmö
60tal,Vem var för kärnkraft på 60-talet?,Socialdemokraterna,Centerpartiet,Vänsterpartiet,Miljöpartiet
60tal,"Vad hette den berömda frasen från ""Laugh-In""?",Sock it to me!,Here come da judge!,Very interesting,Alla ovanstående
60tal,Vad upptäckte amerikanska U2-plan över Kuba?,Sovjetiska missiler,Kärnvapen,Militärbaser,Alla ovanstående
60tal,"Vem regisserade ""2001: A Space Odyssey""?",Stanley Kubrick,Steven Spielberg,George Lucas,Francis Ford Coppola
60tal,Vad hette Stevie Wonder med riktiga namnet?,Stevland Morris,Steven Wonder,Stephen Morris,Stevland Judkins
60tal,Vad hette Arlanda före det?,Stockholms flygplats,Märsta flygplats,Sigtuna flygplats,Uppsala flygplats
60tal,Vad kallades Ho Chi Minh-stigen?,Supply route,Jungle highway,Mountain pass,River route
60tal,Vad hette The Beach Boys genombrott?,Surfin' USA,California Girls,Good Vibrations,Pet Sounds
60tal,"Vilket band sjöng ""Treat Me Nice""?",Sven-Ingvars,Hep Stars,Tages,Ola & the Janglers
60tal,Vem var sångare i Hep Stars?,Svenne Hedlund,Benny Andersson,Christer Pettersson,Janne Frisk
60tal,Vad kallades Hep Stars?,Sveriges Beatles,Svenska Beatles,Stockholms Beatles,Göteborg Beatles
60tal,Vem var Sveriges statsminister under 60-talet?,Tage Erlander,Olof Palme,Per Albin Hansson,Göran Persson
60tal,Vem var Sveriges statsminister under hela 60-talet?,Tage Erlander,Olof Palme,Per Albin Hansson,Göran Persson
60tal,"Vilket svenskt band sjöng ""Jealous Guy""?",Tages,Hep Stars,Sven-Ingvars,Ola & the Janglers
60tal,Vad hette TV1 före TV2:s start?,Television,Sveriges Television,TV,Rikstelevision
60tal,Var arbetade Lee Harvey Oswald?,Texas School Book Depository,Dallas City Hall,Federal Building,County Courthouse
60tal,Vad sa Neil Armstrong på månen?,That's one small step for man...,Houston we have landed,The Eagle has landed,Mission accomplished
60tal,Vad sa Armstrong när han klev ut på månen?,That's one small step for man...,Houston we have landed,The Eagle has landed,Mission accomplished
60tal,"Vem sjöng ""Windy""?",The Association,The Turtles,The Grass Roots,The Buckinghams
60tal,"Vem sjöng ""Good Vibrations""?",The Beach Boys,The Mamas & The Papas,The Byrds,Buffalo Springfield
60tal,"Vilket band sjöng ""Kind of a Drag""?",The Buckinghams,The Association,The Turtles,The Grass Roots
60tal,"Vem sjöng ""Turn! Turn! Turn!""?",The Byrds,The Mamas & The Papas,Buffalo Springfield,The Turtles
60tal,"Vem sjöng ""Light My Fire""?",The Doors,Jefferson Airplane,The Velvet Underground,Love
60tal,"Vem sjöng ""People Are Strange""?",The Doors,Jefferson Airplane,The Velvet Underground,Love
60tal,Vad kallades Andy Warhols studio?,The Factory,The Workshop,The Studio,The Lab
60tal,"Vem sjöng ""I Can't Help Myself""?",The Four Tops,The Temptations,The Supremes,Martha and the Vandellas
60tal,Vad hette Hendrix band?,The Jimi Hendrix Experience,Band of Gypsys,Electric Ladyland,Purple Haze
60tal,"Vem sjöng ""California Dreamin'""?",The Mamas & The Papas,The Beach Boys,The Byrds,Buffalo Springfield
60tal,Vad kallades Motown Records produktionsstil?,The Motown Sound,Soul Sound,Detroit Beat,Motor City Music
60tal,"Vem sjöng ""Where Did Our Love Go""?",The Supremes,Martha and the Vandellas,The Marvelettes,The Velvelettes
60tal,"Vem sjöng ""My Girl""?",The Temptations,The Four Tops,The Supremes,Martha and the Vandellas
60tal,"Vem sjöng ""Happy Together""?",The Turtles,The Association,The Grass Roots,The Buckinghams
60tal,"Vem sjöng ""Venus in Furs""?",The Velvet Underground,The Doors,Jefferson Airplane,Love
60tal,Vad hette The Velvet Underground & Nicos album?,The Velvet Underground & Nico,White Light/White Heat,The Velvet Underground,Loaded
60tal,"Vilket band sjöng ""My Generation""?",The Who,The Kinks,The Animals,The Yardbirds
60tal,Vem var Smothers Brothers?,Tom och Dick Smothers,Pat och Dick Smothers,Tom och Pat Smothers,Dick och Bob Smothers
60tal,Vilka gjorde Black Power-hälsningen?,Tommie Smith och John Carlos,Carl Lewis och Ben Johnson,Muhammad Ali och Joe Frazier,Jesse Owens och Ralph Metcalfe
60tal,Vad hette The Who:s rockopera?,Tommy,Quadrophenia,The Who Sell Out,Live at Leeds
60tal,Vad hette incidenten som ledde till Vietnam-eskalering?,Tonkinbukten,Gulf of Tonkin,Mekong Delta,Tet-offensiven
60tal,Vem efterträdde Östen Undén?,Torsten Nilsson,Krister Wickman,Sven Andersson,Lennart Geijer
60tal,Vem var första kvinnliga nyhetsuppläsare?,Ulla Andersson,Margareta Kjellberg,Astrid Lindgren,Barbro Alving
60tal,Vem var första kvinna i rymden?,Valentina Teresjkova,Sally Ride,Svetlana Savitskaya,Judith Resnik
60tal,Vilket rymdskepp använde Gagarin?,Vostok 1,Soyuz 1,Mercury 1,Gemini 1
60tal,Vilket rymdskepp använde Teresjkova?,Vostok 6,Vostok 5,Soyuz 1,Mercury 7
60tal,Vem var Östtysklands ledare när muren byggdes?,Walter Ulbricht,Erich Honecker,Wilhelm Pieck,Otto Grotewohl
60tal,Vem var Östtysklands ledare när muren byggdes?,Walter Ulbricht,Erich Honecker,Wilhelm Pieck,Otto Grotewohl
60tal,Vem spelade Clyde?,Warren Beatty,Faye Dunaway,Gene Hackman,Michael J. Pollard
60tal,Vad hette utredningskommissionen?,Warren Commission,Kennedy Commission,Dallas Commission,Federal Commission
60tal,"Var höll MLK sitt ""I Have a Dream""-tal?",Washington D.C.,Montgomery,Birmingham,Selma
60tal,Vem spelade Captain Kirk?,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan
60tal,Vad hette Fred Flintstones hustru?,Wilma,Betty,Pebbles,Pearl
60tal,"På vilken festival spelade Hendrix ""Star Spangled Banner""?",Woodstock,Monterey Pop,Isle of Wight,Newport
60tal,Vad sa Fred Flintstone ofta?,Yabba Dabba Doo!,Yabba Dabba Don't!,Holy Mackerel!,Great Caesar's Ghost!
60tal,"Vad hette inledningen till ""The Twilight Zone""?",You are about to enter...,Welcome to...,This is...,Imagine if you will...
60tal,Vad hette The Kinks stora hit?,You Really Got Me,Waterloo Sunset,Lola,Come Dancing
60tal,Var öppnade IKEA sitt första varuhus?,Älmhult,Stockholm,Göteborg,Malmö
60tal,Vad delade Berlinmuren?,Öst- och Västberlin,Öst- och Västtyskland,Nord- och Sydberlin,Sovjetzonen och de allierade
60tal,Vem var utrikesminister under 60-talet?,Östen Undén,Torsten Nilsson,Krister Wickman,Sven Andersson
